Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
2.0,4.0,3.0,131.0,108.0,2500000100,2500.0
2.0,4.0,3.0,131.0,108.0,2500000000,2500.0
0.0,3.0,3.0,130.0,108.0,2500000000,2500.0
1.0,6.0,3.0,85.0,108.0,890000000,890.0
2.0,3.0,2.0,106.0,96.0,1599900000,1599.9
0.0,4.0,3.0,160.0,144.0,2350000000,2350.0
0.0,3.0,3.0,123.0,114.0,2200000000,2200.0
0.0,3.0,2.0,120.0,62.0,550000000,550.0
0.0,2.0,1.0,40.0,57.0,455000000,455.0
0.0,3.0,2.0,60.0,69.0,1217000000,1217.0
0.0,2.0,2.0,106.0,98.0,1200000000,1200.0
0.0,3.0,1.0,180.0,220.0,1975000000,1975.0
0.0,5.0,2.0,110.0,164.0,1600000000,1600.0
1.0,3.0,1.0,100.0,150.0,1500000000,1500.0
2.0,2.0,2.0,71.0,72.0,675000000,675.0
2.0,3.0,2.0,92.0,113.0,1800000000,1800.0
0.0,4.0,4.0,170.0,96.0,1000000000,1000.0
2.0,3.0,2.0,91.0,113.0,1800000000,1800.0
0.0,3.0,2.0,86.0,103.0,1010000000,1010.0
1.0,2.0,2.0,50.0,138.0,1600000000,1600.0
0.0,3.0,3.0,170.0,149.0,990000000,990.0
0.0,3.0,3.0,200.0,140.0,2300000000,2300.0
0.0,4.0,3.0,210.0,310.0,3500000000,3500.0
1.0,3.0,2.0,61.0,81.0,1050000000,1050.0
2.0,3.0,3.0,115.0,116.0,2349000000,2349.0
1.0,3.0,2.0,114.0,115.0,2349000000,2349.0
2.0,4.0,3.0,120.0,120.0,2450000000,2450.0
0.0,3.0,4.0,250.0,84.0,1500000000,1500.0
2.0,5.0,4.0,172.0,133.0,3390000000,3390.0
2.0,3.0,2.0,60.0,70.0,700000000,700.0
2.0,2.0,2.0,55.0,77.0,739000000,739.0
1.0,3.0,2.0,70.0,168.0,1100000000,1100.0
1.0,2.0,1.0,97.0,105.0,815000000,815.0
0.0,5.0,3.0,237.0,256.0,2950000000,2950.0
0.0,4.0,2.0,250.0,199.0,2750000000,2750.0
1.0,3.0,2.0,70.0,169.0,1100000000,1100.0
1.0,4.0,2.0,110.0,168.0,1950000000,1950.0
2.0,3.0,2.0,55.0,63.0,769500000,769.5
3.0,3.0,3.0,135.0,147.0,2300000000,2300.0
1.0,3.0,2.0,70.0,104.0,850000000,850.0
0.0,3.0,2.0,70.0,168.0,1100000000,1100.0
