Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
0.0,4,3,168,264.0,4500000000,4500.0
0.0,2,1,29,82.0,810000000,810.0
0.0,10,3,146,70.0,2300000000,2300.0
1.0,2,2,50,72.0,693504000,693.5
1.0,2,2,50,72.0,693504000,693.5
0.0,7,4,223,168.0,3200000000,3200.0
0.0,12,12,350,204.0,3600000000,3600.0
0.0,3,2,150,210.0,2300000000,2300.0
0.0,2,2,50,72.0,693500000,693.5
0.0,2,1,40,60.0,585000000,585.0
0.0,2,1,40,60.0,585000000,585.0
0.0,2,2,50,72.0,693500000,693.5
1.0,6,4,160,202.0,1100000000,1100.0
1.0,3,2,100,200.0,1000000000,1000.0
0.0,5,4,300,296.0,2750000000,2750.0
2.0,3,2,160,213.0,2000000000,2000.0
1.0,4,2,120,117.0,1490000000,1490.0
0.0,4,3,160,120.0,2450000000,2450.0
0.0,3,2,126,120.0,1300000000,1300.0
1.0,2,2,50,72.0,693500000,693.5
0.0,2,1,40,60.0,585000000,585.0
0.0,6,2,245,230.0,1100000000,1100.0
2.0,5,5,140,120.0,2300000000,2300.0
0.0,5,2,160,112.0,1500000000,1500.0
2.0,8,6,380,279.0,2980000000,2980.0
4.0,7,3,200,300.0,2350000000,2350.0
0.0,7,7,110,56.0,675000000,675.0
1.0,4,4,220,120.0,2000000000,2000.0
1.0,3,2,90,120.0,1100000000,1100.0
4.0,5,4,250,220.0,1875000000,1875.0
1.0,3,1,80,110.0,1100000000,1100.0
0.0,2,1,40,60.0,450000000,450.0
1.0,2,1,70,114.0,1200000000,1200.0
1.0,2,1,36,69.0,550000000,550.0
12.0,3,2,100,120.0,1200000000,1200.0
1.0,4,4,130,130.0,2500000000,2500.0
2.0,5,2,250,232.0,1300000000,1300.0
0.0,3,3,123,114.0,2190000000,2190.0
0.0,2,1,50,60.0,495000000,495.0
2.0,5,4,200,175.0,3750000000,3750.0
2.0,5,4,180,132.0,2850000000,2850.0
2.0,4,3,170,100.0,2450000000,2450.0
0.0,2,1,30,50.0,275000000,275.0
0.0,2,1,36,66.0,1300000000,1300.0
2.0,5,4,350,225.0,3250000000,3250.0
2.0,5,4,179,220.0,4300000000,4300.0
1.0,5,4,320,244.0,2600000000,2600.0
1.0,3,2,100,120.0,1300000000,1300.0
1.0,2,1,42,72.0,800000000,800.0
1.0,3,1,60,84.0,1570000000,1570.0
1.0,3,2,110,140.0,2000000000,2000.0
1.0,4,4,170,200.0,3800000000,3800.0
1.0,3,2,100,127.0,1350000000,1350.0
2.0,5,4,320,244.0,2550000000,2550.0
2.0,4,3,320,244.0,2600000000,2600.0
1.0,2,3,94,90.0,1750000000,1750.0
0.0,3,2,104,145.0,2200000000,2200.0
0.0,3,3,123,114.0,2190000000,2190.0
0.0,4,3,82,119.0,975000000,975.0
3.0,4,5,145,160.0,1750000000,1750.0
1.0,4,3,160,106.0,2250000000,2250.0
1.0,3,2,65,78.0,750000000,750.0
2.0,5,4,320,244.0,2600000000,2600.0
0.0,5,4,320,244.0,2600000000,2600.0
0.0,2,1,70,132.0,1000000000,1000.0
0.0,2,1,40,70.0,1250000000,1250.0
0.0,2,1,45,84.0,1100000000,1100.0
2.0,3,2,100,80.0,1650000000,1650.0
15.0,2,1,30,60.0,489000000,489.0
0.0,3,2,150,82.0,657700000,657.7
1.0,2,2,80,117.0,1700000000,1700.0
2.0,4,3,170,100.0,2450000000,2450.0
2.0,3,3,123,114.0,2190000000,2190.0
1.0,3,3,110,76.0,1850000000,1850.0
15.0,3,1,111,84.0,695000000,695.0
2.0,4,3,100,120.0,2450000000,2450.0
2.0,5,4,200,175.0,2750000000,2750.0
