Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga,Harga (Juta Rupiah)
3.0,2.0,240.0,331.0,2500000000,2500.0
4.0,2.0,220.0,231.0,2500000000,2500.0
2.0,1.0,61.0,89.0,350000000,350.0
2.0,1.0,45.0,100.0,575000000,575.0
4.0,3.0,137.0,114.0,2400000000,2400.0
4.0,3.0,150.0,118.0,875000000,875.0
3.0,2.0,75.0,100.0,695000000,695.0
3.0,3.0,135.0,147.0,2300000000,2300.0
3.0,3.0,150.0,120.0,1500000000,1500.0
4.0,2.0,85.0,84.0,950000000,950.0
2.0,2.0,72.0,69.0,695000000,695.0
2.0,1.0,54.0,99.0,800000000,800.0
4.0,4.0,205.0,300.0,2800000000,2800.0
2.0,1.0,46.0,66.0,492900000,492.9
2.0,1.0,45.0,67.0,593900000,593.9
3.0,2.0,240.0,331.0,2500000000,2500.0
4.0,3.0,330.0,220.0,2900000000,2900.0
4.0,2.0,139.0,137.0,861100000,861.1
5.0,4.0,170.0,120.0,1350000000,1350.0
3.0,3.0,300.0,220.0,2900000000,2900.0
3.0,3.0,135.0,147.0,2300000000,2300.0
2.0,1.0,54.0,99.0,800000000,800.0
3.0,2.0,135.0,124.0,1200000000,1200.0
4.0,4.0,173.0,173.0,1600000000,1600.0
3.0,3.0,90.0,140.0,780000000,780.0
5.0,5.0,200.0,185.0,1500000000,1500.0
4.0,4.0,155.0,119.0,1300000000,1300.0
2.0,1.0,40.0,62.0,400000000,400.0
3.0,2.0,100.0,100.0,950000000,950.0
3.0,1.0,122.0,232.0,900000000,900.0
5.0,4.0,150.0,160.0,990000000,990.0
3.0,2.0,90.0,90.0,450000000,450.0
2.0,2.0,55.0,90.0,750000000,750.0
3.0,3.0,150.0,160.0,995000000,995.0
2.0,1.0,40.0,72.0,620000000,620.0
4.0,2.0,139.0,137.0,861000000,861.0
2.0,2.0,55.0,63.0,770000000,770.0
4.0,2.0,85.0,133.0,1000000000,1000.0
3.0,2.0,120.0,114.0,1450000000,1450.0
4.0,3.0,104.0,84.0,1200000000,1200.0
3.0,3.0,150.0,120.0,1499000000,1499.0
3.0,2.0,110.0,100.0,945000000,945.0
3.0,2.0,100.0,100.0,950000000,950.0
3.0,2.0,55.0,68.0,680000000,680.0
5.0,3.0,176.0,176.0,1800000000,1800.0
2.0,1.0,54.0,99.0,800000000,800.0
3.0,2.0,100.0,100.0,950000000,950.0
4.0,4.0,155.0,120.0,1300000000,1300.0
2.0,1.0,60.0,144.0,1100000000,1100.0
3.0,2.0,86.0,95.0,1750000000,1750.0
3.0,2.0,180.0,120.0,1400000000,1400.0
4.0,3.0,150.0,155.0,1900000000,1900.0
5.0,3.0,200.0,124.0,1700000000,1700.0
3.0,2.0,70.0,63.0,835000000,835.0
2.0,1.0,40.0,72.0,630000000,630.0
4.0,2.0,100.0,98.0,990000000,990.0
4.0,4.0,120.0,147.0,2300000000,2300.0
23.0,1.0,90.0,124.0,670000000,670.0
6.0,4.0,200.0,240.0,2750000000,2750.0
2.0,1.0,54.0,99.0,800000000,800.0
3.0,2.0,72.0,88.0,1050000000,1050.0
3.0,2.0,119.0,85.0,1299500000,1299.5
4.0,2.0,85.0,133.0,1050000000,1050.0
2.0,2.0,59.0,72.0,674635000,674.64
2.0,2.0,55.0,90.0,750000000,750.0
4.0,4.0,250.0,192.0,1750000000,1750.0
3.0,4.0,135.0,147.0,2300000000,2300.0
3.0,2.0,120.0,114.0,1450000000,1450.0
6.0,4.0,200.0,145.0,1900000000,1900.0
3.0,2.0,60.0,71.0,654000000,654.0
2.0,1.0,40.0,65.0,595000000,595.0
4.0,2.0,120.0,162.0,1700000000,1700.0
2.0,1.0,46.0,115.0,579000000,579.0
3.0,1.0,75.0,142.0,835000000,835.0
2.0,2.0,75.0,112.0,1200000000,1200.0
4.0,2.0,150.0,135.0,700000000,700.0
4.0,4.0,180.0,99.0,1500000000,1500.0
3.0,3.0,170.0,120.0,1500000000,1500.0
2.0,2.0,90.0,100.0,925000000,925.0
4.0,4.0,155.0,119.0,1300000000,1300.0
4.0,3.0,190.0,230.0,1675000000,1675.0
2.0,1.0,46.0,68.0,595000000,595.0
3.0,2.0,105.0,120.0,850000000,850.0
4.0,3.0,133.0,118.0,800000000,800.0
4.0,2.0,140.0,176.0,1300000000,1300.0
3.0,1.0,120.0,99.0,990000000,990.0
4.0,2.0,110.0,98.0,1400000000,1400.0
3.0,3.0,150.0,102.0,1375000000,1375.0
2.0,1.0,50.0,100.0,740000000,740.0
3.0,2.0,135.0,104.0,1200000000,1200.0
3.0,2.0,70.0,95.0,900000000,900.0
3.0,3.0,150.0,120.0,1499000000,1499.0
3.0,3.0,134.0,119.0,1500000000,1500.0
4.0,4.0,155.0,119.0,1300000000,1300.0
