,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
3,4.0,3.0,131.0,108.0,2500000100
4,4.0,3.0,131.0,108.0,2500000000
5,3.0,3.0,130.0,108.0,2500000000
6,6.0,3.0,85.0,108.0,890000000
7,3.0,2.0,106.0,96.0,1599900000
8,4.0,3.0,160.0,144.0,2350000000
9,3.0,3.0,123.0,114.0,2200000000
11,3.0,2.0,120.0,62.0,550000000
14,2.0,1.0,40.0,57.0,455000000
22,3.0,2.0,60.0,69.0,1217000000
23,2.0,2.0,106.0,98.0,1200000000
25,3.0,1.0,180.0,220.0,1975000000
26,5.0,2.0,110.0,164.0,1600000000
29,3.0,1.0,100.0,150.0,1500000000
31,2.0,2.0,71.0,72.0,675000000
32,3.0,2.0,92.0,113.0,1800000000
34,4.0,4.0,170.0,96.0,1000000000
35,3.0,2.0,91.0,113.0,1800000000
36,3.0,2.0,86.0,103.0,1010000000
38,2.0,2.0,50.0,138.0,1600000000
40,3.0,3.0,170.0,149.0,990000000
41,3.0,3.0,200.0,140.0,2300000000
42,4.0,3.0,210.0,310.0,3500000000
43,3.0,2.0,61.0,81.0,1050000000
44,3.0,3.0,115.0,116.0,2349000000
45,3.0,2.0,114.0,115.0,2349000000
46,4.0,3.0,120.0,120.0,2450000000
47,3.0,4.0,250.0,84.0,1500000000
57,5.0,4.0,172.0,133.0,3390000000
58,3.0,2.0,60.0,70.0,700000000
59,2.0,2.0,55.0,77.0,739000000
60,3.0,2.0,70.0,168.0,1100000000
61,2.0,1.0,97.0,105.0,815000000
62,5.0,3.0,237.0,256.0,2950000000
64,4.0,2.0,250.0,199.0,2750000000
65,3.0,2.0,70.0,169.0,1100000000
66,4.0,2.0,110.0,168.0,1950000000
67,3.0,2.0,55.0,63.0,769500000
68,3.0,3.0,135.0,147.0,2300000000
69,3.0,2.0,70.0,104.0,850000000
71,3.0,2.0,70.0,168.0,1100000000
72,3.0,2.0,70.0,168.0,1100000000
73,3.0,3.0,135.0,147.0,2300000000
74,2.0,2.0,90.0,112.0,1100000000
75,3.0,2.0,70.0,168.0,1100000000
81,3.0,2.0,70.0,168.0,1100000000
82,2.0,2.0,90.0,112.0,1100000000
83,4.0,3.0,103.0,101.0,990000000
84,2.0,1.0,36.0,68.0,540000000
85,3.0,1.0,50.0,60.0,500000000
86,2.0,2.0,76.0,72.0,675000000
87,3.0,3.0,135.0,147.0,2299900000
88,3.0,2.0,70.0,168.0,1100000000
89,6.0,6.0,96.0,63.0,650000000
91,3.0,2.0,55.0,63.0,770000000
92,3.0,2.0,62.0,63.0,794500000
93,3.0,2.0,70.0,168.0,1100000000
94,3.0,2.0,90.0,112.0,1100000000
95,3.0,2.0,70.0,168.0,1100000000
96,4.0,2.0,100.0,98.0,990000000
97,3.0,2.0,90.0,112.0,1100000000
98,3.0,1.0,110.0,135.0,1300000000
99,3.0,1.0,42.0,93.0,291100000
100,4.0,4.0,120.0,147.0,2300000000
101,4.0,2.0,230.0,278.0,1350000000
102,5.0,5.0,250.0,192.0,1750000000
