Link,Judul,Kecamatan,Lahan Parkir,Kamar Tidur,Kamar Mandi,Luas Bangunan,Luas Tanah,Harga
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-murah-jalan-sunda-asia-afrika-jarang-ada-172189114483/,Rumah Murah Jalan Sunda Asia Afrika Jarang Ada,Antapani,6.0,3.0,4.0,500.0,568.0,11000000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-minimalis-siap-huni-di-pusat-kota-172366449955/,Rumah Minimalis Siap Huni di pusat kota,Antapani,2.0,5.0,3.0,370.0,259.0,18000000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/jual-murah-rumah-lokasi-premium-di-bandung-17236213503/,JUAL MURAH RUMAH LOKASI PREMIUM DI BANDUNG,Antapani,0.0,8.0,6.0,693.0,1035.0,27000000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-industri-di-turangga-buahbatu-dkt-sailendro-172356234731/,Rumah Industri di Turangga Buahbatu dkt Sailendro SMAN 8 Trans Studio,Antapani,2.0,4.0,3.0,131.0,108.0,2500000100
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-ready-baru-industrial-diturangga-buahbatu-172327123269/,Rumah ready baru industrial diturangga buahbatu,Antapani,2.0,4.0,3.0,131.0,108.0,2500000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/2unit-rumah-baru-modern-konsep-industrial-di-lokas-172326592966/,2UNIT RUMAH BARU MODERN KONSEP INDUSTRIAL DI LOKASI STRATEGIS TURANGGA,Antapani,0.0,3.0,3.0,130.0,108.0,2500000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/jual-rumah-muararajeun-katamso-supratman-172325766844/,Jual Rumah Muararajeun Katamso Supratman,Antapani,1.0,6.0,3.0,85.0,108.0,890000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-murah-tamansari-itb-cihampelas-172322090273/,Rumah Murah Tamansari ITB Cihampelas,Antapani,2.0,3.0,2.0,106.0,96.0,1599900000
https://www.lamudi.co.id/jual/jawa-barat/bandung/dijual-rumah-baru-modern-full-renovasi-di-lokasi-s-172318868059/,DiJUAL RUMAH BARU MODERN FULL RENOVASI DI LOKASI STRATEGIS TURANGGA,Antapani,0.0,4.0,3.0,160.0,144.0,2350000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/rumah-baru-konsep-skandinavian-disayap-bkr-kota-ba-172318853926/,RUMAH BARU KONSEP  SKANDINAVIAN DISAYAP BKR KOTA BANDUNG,Antapani,0.0,3.0,3.0,123.0,114.0,2200000000
https://www.lamudi.co.id/jual/jawa-barat/bandung/harga-bawah-njop-mainroad-wastukencana-bandung-172310390326/,Harga Bawah NJOP Mainroad Wastukencana Bandung,Antapani,0.0,4.0,4.0,552.0,512.0,9500000000
